Argument ID	WA	MACE-P	stance_WA	stance_WA_conf
A09033	1	0.901243435	1	1
A09034	0.856409042	0.608346907	-1	0.693692964
A09035	1	0.961754522	-1	1
A09036	0.93698805	0.634249411	-1	1
A09037	1	0.930293537	-1	1
A09038	1	0.938993859	1	1
A09039	0.66841656	0.52279075	-1	1
A09040	0.878834637	0.929641849	1	1
A09041	0.917674576	0.907212319	1	1
A09042	0.879864438	0.930776387	-1	1
A09043	0.920377302	0.98607807	1	1
A09044	0.786657274	0.453672777	-1	0.902793781
A09045	1	0.999976241	-1	1
A09046	0.724654654	0.111629439	1	1
A09047	0.755557607	0.867036991	-1	0.892087824
A09048	0.873679164	0.95495914	1	1
A09049	0.745144063	0.59349769	1	1
A09050	0.592613587	0.075809466	1	1
A09051	1	0.827943314	1	1
A09052	0.851533654	0.827939648	-1	1
A09053	0.888264376	0.773490552	-1	1
A09054	0.663757259	0.64404576	-1	1
A09055	0.67837291	0.21319375	-1	0.908060299
A09056	0.900407449	0.427210673	-1	0.925784393
A09057	1	0.999704385	1	1
A09058	0.955252031	0.810991758	1	1
A09059	1	0.928958988	1	1
A09060	0.794448229	0.702929062	-1	1
A09061	0.565717266	0.02990074	-1	0.697298517
A09062	0.902780115	0.831173997	1	1
A09063	0.904068132	0.821574722	-1	1
A09064	0.747210671	0.859167021	1	1
A09065	0.755286448	0.086226911	-1	1
A09066	0.724025313	0.991968163	-1	1
A09067	0.981760262	0.901964588	1	1
A09068	1	0.770695797	-1	1
A09069	0.644301922	0.001024698	1	1
A09070	0.812120482	0.772407919	-1	0.905000664
A09071	1	0.914816313	1	1
A09072	0.984873483	0.963855963	-1	1
A09073	0.804861465	0.681631502	-1	1
A09074	0.520696874	0.026451329	-1	0.579394985
A09075	0.956693442	0.548847482	1	1
A09076	0.845774627	0.890743952	-1	1
A09077	0.905126607	0.934571139	-1	1
A09078	0.978358688	0.913662055	1	1
A09079	1	0.74012036	-1	0.801940805
A09080	0.903690382	0.909411903	-1	0.905601153
A09081	0.892554639	0.793943198	1	1
A09082	1	0.981447825	1	0.888368797
A09083	1	0.962361876	1	1
A09084	0.556621635	0.004745275	-1	1
A09085	0.782383601	0.220756397	-1	1
A09086	1	0.959302839	-1	1
A09087	1	0.964499955	-1	1
A09088	1	0.933528877	1	1
A09089	0.762456926	0.378692324	1	1
A09090	0.692558399	0.295015135	1	1
A09091	0.597429956	0.001589441	1	0.514057457
A09092	0.90093031	0.895946878	-1	1
A09093	0.870789685	0.829420449	1	1
A09094	0.659954737	0.005845414	1	1
A09095	0.706492969	0.119345391	1	1
A09096	0.73062834	0.95724402	-1	0.903881334
A09097	0.665951035	0.487372017	-1	1
A09098	0.66038333	0.150187153	1	1
A09099	0.683960441	0.135927582	-1	1
A09100	0.536294382	0.038474322	1	0.90059143
A10001	0.603986438	0.053008008	1	1
A10002	0.871048749	0.529015376	1	1
A10003	1	0.984211204	1	1
A10004	0.859061263	0.705202498	-1	0.928163875
A10005	0.818812303	0.978102566	1	1
A10006	1	0.905427593	-1	0.902668319
A10007	0.880462676	0.472471093	-1	1
A10008	0.655183913	0.74721969	1	0.707509976
A10009	0.767359003	0.731040647	-1	0.909372838
A10010	0.819514436	0.720116382	-1	1
A10011	0.578850861	0.019327415	1	0.798627126
A10012	0.869199258	0.99969179	-1	1
A10013	0.782340587	0.411073798	1	1
A10014	0.978669596	0.885053976	1	1
A10015	1	0.906718569	-1	1
A10016	0.851744448	0.984748617	1	1
A10017	0.595952562	0.248396568	-1	1
A10018	0.787245739	0.207321258	1	1
A10019	0.885334196	0.806875097	1	1
A10020	0.87605774	0.615468221	-1	1
A12001	0.913841055	0.925623988	1	0.911047607
A12002	0.871875007	0.995792762	-1	1
A12003	0.897690793	0.853588667	1	1
A12004	0.888442858	0.881137204	1	1
A12005	0.913259364	0.769293808	1	1
A12006	0.956081188	0.900692866	1	1
A12007	0.793972078	0.728586543	1	0.808877279
A12008	1	0.970212344	1	1
A12009	0.747692023	0.002443045	1	1
A12010	0.952942854	0.970762332	-1	1
A12011	0.945457447	0.716796864	-1	1
A12012	0.797849359	0.804565676	1	1
A12013	0.803788188	0.746639512	-1	1
A12014	0.873401888	0.854050693	-1	0.928758086
A12015	1	0.963533273	1	1
A12016	0.860370509	0.647079476	-1	0.892453421
A12017	1	0.999611433	1	1
A12018	1	0.929352735	1	1
A12019	0.906591417	0.829620333	-1	1
A12020	1	0.740988875	1	1
A12021	0.845074949	0.75352151	1	1
A12022	1	0.816485262	1	1
A12023	1	0.824703495	-1	0.927804834
A12024	0.9192974	0.742523977	1	1
A12025	1	0.999185329	1	1
A12026	0.874949881	0.839974166	-1	1
A12027	0.734150357	0.424261408	-1	1
A12028	0.795682011	0.800135588	-1	1
A12029	0.866743817	0.899370221	-1	1
A12030	0.877111959	0.67451348	1	1
A12031	0.627646931	0.108046744	1	0.90930991
A12032	0.548157092	0.034113088	-1	1
A12033	0.86472174	0.998685895	1	1
A12034	0.628468135	0.345184096	1	1
A12035	0.984142899	0.937719487	-1	0.88906278
A12036	0.866170303	0.649283845	-1	1
A12037	0.74845162	0.324199017	-1	1
A12038	0.880165821	0.729503221	1	1
A12039	0.621412727	0.113840554	1	1
A12040	0.947479943	0.999079577	-1	1
A12041	0.904988967	0.95320592	1	1
A12042	0.558705844	0.047263454	1	0.88545258
A12043	0.649032529	0.407478516	1	1
A12044	0.873126469	0.999663349	1	0.904889808
A12045	0.695460692	0.168134819	-1	0.928374732
A12046	0.926890568	0.934509223	-1	1
A12047	1	0.908991126	1	1
A12048	0.616430514	0.148682157	1	0.665840949
A12049	0.650548228	0.146137476	-1	0.927570182
A12050	0.934961343	0.675459469	1	0.92074029
A12051	1	0.658719037	1	0.901073644
A12052	1	0.912895087	-1	1
A12053	0.771885023	0.473105511	-1	1
A12054	0.896543048	0.79313296	1	1
A12055	0.782476737	0.187233118	-1	1
A12056	1	0.912356161	1	1
A12057	0.897222756	0.915696193	1	1
A12058	1	0.999951133	1	1
A12059	0.927083458	0.85292462	1	1
A12060	0.517058292	0.202322077	-1	1
A12061	0.871986195	0.748269367	1	0.903581223
A12062	0.809127073	0.632028756	1	1
A12063	1	0.999071894	1	1
A12064	1	0.999406113	1	1
A12065	0.762156619	0.334509448	1	1
A12066	0.522696245	0.037997003	-1	0.812128811
A12067	0.890223616	0.999768746	1	1
A12068	0.821884843	0.797444465	-1	1
A12069	0.636587843	0.001119298	-1	0.928652254
A12070	1	0.990608437	1	1
A12071	0.65906932	0.418694775	-1	1
A12072	0.514864143	0.011672516	1	0.898046358
A12073	0.972064485	0.742710366	1	1
A12074	1	0.761528693	-1	0.928201228
A12075	1	0.954270613	-1	1
A12076	1	0.982759796	1	1
A12077	0.716648202	0.480195538	-1	1
A12078	0.754553758	0.373753028	1	0.895592404
A12079	0.941371671	0.997408985	-1	1
A12080	0.58685132	0.020600344	-1	1
A12081	0.877405741	0.972823875	-1	0.898461773
A12082	0.793793153	0.434001849	1	0.902971162
A12083	0.860306636	0.718936704	-1	1
A12084	0.739076076	0.613985853	1	1
A12085	0.587828351	0.023797363	-1	0.685998402
A12086	0.875445895	0.950241072	-1	1
A12087	0.861524267	0.501237207	1	1
A12088	0.779774676	0.454045263	1	1
A12089	0.834715946	0.652078778	1	1
A12090	0.976972744	0.79009823	1	1
A12091	0.718643255	0.852109224	1	1
A12092	0.685532278	0.284493983	1	1
A12093	1	0.886791415	1	1
A12094	0.710087275	0.065458086	-1	0.898893515
A12095	0.911370274	0.861870736	-1	1
A12096	1	0.955625655	-1	1
A12097	0.909802024	0.675716997	-1	1
A12098	0.801645197	0.721296692	1	1
A12099	0.705092566	0.608464556	-1	1
A12100	0.942709741	0.846571505	-1	1
A12101	0.949842497	0.991483032	-1	1
A12102	1	0.999941927	1	1
A12103	0.970195732	0.910417738	1	1
A12104	0.524268373	0.112413858	-1	1
A12105	1	0.643036045	1	0.813478779
A12106	0.723918461	0.759063912	-1	1
A12107	0.865980347	0.619487271	-1	0.892701944
A12108	0.685160008	0.331292221	1	0.905263133
A12109	0.859225452	0.794501248	1	1
A12110	0.909012494	0.672483541	-1	1
A12111	0.828751022	0.708719377	-1	1
A12112	0.739327774	0.808745811	-1	1
A12113	0.738224752	0.167469259	-1	1
A12114	0.852813935	0.513749284	-1	1
A12115	0.545732577	0.438577509	-1	1
A12116	0.834367889	0.920375318	-1	1
A12117	0.766770239	0.976286744	1	1
A12118	0.713188226	0.149783013	1	1
A12119	0.901699674	0.895345991	-1	0.896558763
A12120	0.846358542	0.797954139	1	1
A12121	0.613345189	0.439492431	-1	0.926554996
A12122	0.931763181	0.850172778	-1	1
A12123	0.734292014	0.559060405	-1	1
A12124	0.796823253	0.615870382	-1	1
A12125	0.622155646	0.034998782	-1	0.893855177
A12126	0.65453424	0.233950841	-1	1
A12127	0.566787349	0.006895846	-1	1
A12128	0.895495234	0.873722946	1	1
A12129	0.834397629	0.996673372	-1	0.885404871
A12130	0.63692876	0.43120589	-1	0.829458236
A12131	0.900007918	0.817456297	-1	1
A12132	0.686608164	0.18699881	1	1
A12133	0.743648511	0.940198873	1	1
A12134	0.715313987	0.030981972	1	1
A12135	0.669647694	0.28495964	1	0.9004529
A12136	0.863057501	0.638496224	-1	0.832282229
A12137	0.812271491	0.682079289	-1	1
A12138	0.911437655	0.835291463	-1	1
A12139	0.772727841	0.156141718	1	0.908229675
A12140	0.760324785	0.438083554	-1	1
A12141	0.626146547	0.1072194	1	1
A12142	1	0.836711272	1	1
A12143	0.781010175	0.572085133	1	1
A12144	0.589116862	0.254154172	-1	0.909650757
A12145	0.805919773	0.700760668	1	1
A12146	1	0.952887792	1	1
A12147	0.604343067	0.035215946	1	0.895729849
A12148	0.812549484	0.542960746	-1	1
A12149	0.92388056	0.893624882	1	1
A12150	0.862162765	0.410357142	1	0.907763477
A12151	0.861566133	0.985196334	1	1
A12152	0.702313155	0.153985648	-1	1
A12153	0.879109365	0.614354507	1	1
A12154	0.793477624	0.538215073	-1	0.927648055
A12155	0.917534683	0.999520546	1	1
A12156	1	0.976048264	-1	0.926560505
A12157	0.933046125	0.955649144	1	1
A12158	0.757419572	0.083226723	1	1
A12159	0.663945367	0.144655383	1	0.895803915
A12160	1	0.944384724	1	1
A12161	0.753672276	0.605164231	-1	1
A12162	0.941579223	0.88290451	-1	0.928133367
A12163	1	0.955981841	-1	0.908268894
A12164	1	0.934771029	-1	1
A12165	0.63308081	0.007733773	-1	0.927083925
A12166	0.77027318	0.843600243	-1	1
A12167	0.634738608	0.149682087	-1	0.78017864
A12168	0.906708746	0.998102864	1	1
A12169	0.910433464	0.590429668	1	1
A12170	0.864450668	0.576022745	1	1
A12171	1	0.967980769	-1	1
A12172	0.736474691	0.113519435	-1	1
A12173	0.963060941	0.810971042	1	1
A12174	0.688182188	0.846665988	1	1
A12175	0.821296552	0.858385006	-1	1
A12176	1	0.937755808	-1	1
A12177	0.763399113	0.710919869	-1	1
A12178	0.859117128	0.848054643	1	1
A12179	0.875530767	0.924370127	-1	0.890245604
A12180	0.50788902	0.000935084	-1	1
A12181	0.83821734	0.724444566	1	1
A12182	1	0.900927328	1	0.907959256
A12183	1	0.678525003	1	0.897126244
A12184	1	0.837816897	1	1
A12185	1	0.966557806	1	1
A12186	0.978775012	0.988367376	1	1
A12187	0.759828959	0.455599673	-1	1
A12188	0.900490311	0.783224902	1	1
A12189	0.749710695	0.186925829	-1	1
A12190	0.824770338	0.871391113	-1	1
A12191	0.808298309	0.575149593	-1	0.911172606
A12192	0.58732284	0.040196883	-1	0.816744138
A12193	0.888918492	0.937525428	1	1
A12194	1	0.962527143	-1	1
A12195	1	0.896202072	1	1
A12196	1	0.992593013	1	1
A12197	1	0.969133897	1	1
A12198	0.944156289	0.959093196	-1	1
A12199	0.736808909	0.336910348	-1	0.800210165
A12200	0.695622276	0.090210215	1	1
A12201	1	0.917756718	1	1
A12202	0.974143975	0.887666981	1	0.895558468
A12203	0.896861792	0.414508162	1	1
A12204	0.60460772	0.004124835	-1	0.92902758
A12205	0.726934818	0.517181635	-1	1
A12206	0.87714687	0.997974256	-1	1
A12207	0.851093367	0.932237377	-1	1
A12208	0.994134867	0.995902988	1	1
A12209	0.905192677	0.814789004	1	1
A12210	0.878728895	0.618744261	1	1
A12211	0.932963181	0.999577852	-1	1
A12212	0.884149132	0.80416835	1	0.903266219
A12213	0.715067384	0.55891001	1	0.90007823
A12214	0.627155144	0.526678673	-1	1
A12215	0.900033335	0.732912173	1	1
A12216	1	0.880947455	-1	0.819635165
A12217	0.695492147	0.614461863	1	1
A12218	0.857645469	0.987832802	1	0.90696855
A12219	0.638220442	0.000423839	1	1
A12220	0.815438961	0.555404523	-1	0.818679873
A12221	0.590128061	0.166465041	1	1
A12222	0.868362314	0.859028034	-1	0.894828412
A12223	0.511853539	0.092013543	-1	1
A12224	0.895825362	0.921243216	-1	1
A12225	0.818311229	0.97626545	-1	1
A12226	0.871265787	0.945020622	1	1
A12227	0.913459536	0.956752955	1	1
A12228	1	0.996071315	-1	1
A12229	0.733143709	0.129966068	-1	0.927843635
A12230	1	0.898100351	1	1
A12231	0.904988967	0.95320592	1	1
A12232	0.765397142	0.343331178	1	1
A12233	0.823856045	0.768837743	1	0.811916622
A12234	0.626637838	0.088795996	-1	0.794875944
A12235	0.8495939	0.535935616	1	0.575997659
A12236	1	0.996904945	1	1
A12237	0.574228277	0.000767012	-1	1
